date,next_date,maturity,variance_swap_return_daily,straddle_return_daily
2000-01-03,2000-01-04,12m,0.038729688003188656,0.02462254051459989
2000-01-04,2000-01-05,12m,0.010957149988355841,0.004495125415944878
2000-01-05,2000-01-06,12m,-0.02713000011411648,-0.00927207957130105
2000-01-06,2000-01-07,12m,0.055477068825498854,0.004484654681589539
2000-01-07,2000-01-10,12m,-0.042418375823270016,-0.012924843093182647
2000-01-10,2000-01-11,12m,0.03230479066047631,0.006826233973064255
2000-01-11,2000-01-12,12m,0.01817066714738025,0.0016125860373648049
2000-01-12,2000-01-13,12m,0.0020453435437635115,0.006179721772453961
2000-01-13,2000-01-14,12m,-0.028409123924721502,-0.002077129057283633
2000-01-14,2000-01-18,12m,0.017259952409761636,0.008530484866564159
2000-01-18,2000-01-19,12m,-0.004689875796944576,-0.0009504574076274475
2000-01-19,2000-01-20,12m,0.015428901200197354,-0.0023044992874432513
2000-01-20,2000-01-21,12m,-0.017007467898176976,-0.013916335457512807
2000-01-21,2000-01-24,12m,0.005195526573573028,-0.015119148673033989
2000-01-24,2000-01-25,12m,-0.0020676270782519213,-0.0049557882588551205
2000-01-25,2000-01-26,12m,0.0016281321287687778,0.0016690178624649832
2000-01-26,2000-01-27,12m,0.006608178103341578,0.004719650496864736
2000-01-27,2000-01-28,12m,0.0031871887110102026,0.010966608084358676
2000-01-28,2000-01-31,12m,-0.0018125892263523014,-0.011425474494536125
2000-01-31,2000-02-01,12m,-0.015584619429361402,-0.009605833927238572
2000-02-01,2000-02-02,12m,-0.019927955371090933,-0.008080167940745397
2000-02-02,2000-02-03,12m,0.010973429469676388,-0.0026502269995614114
2000-02-03,2000-02-04,12m,-0.021981330611045347,-0.008233797340026827
2000-02-04,2000-02-07,12m,0.005781520951330332,0.0013532817081420845
2000-02-07,2000-02-08,12m,0.010728758372902103,0.005125137331822405
2000-02-08,2000-02-09,12m,0.013986530931868302,-0.009501330186226009
2000-02-09,2000-02-10,12m,0.008011165393819297,0.0054163689584438846
2000-02-10,2000-02-11,12m,-0.004398662213531912,0.005672110786454576
2000-02-11,2000-02-14,12m,0.0036776402800837715,-0.0038260613641381003
2000-02-14,2000-02-15,12m,0.0007200140075238615,0.0003224738838585317
2000-02-15,2000-02-16,12m,-0.011680176332894643,-0.0035974067046172786
2000-02-16,2000-02-17,12m,-0.025201483903260047,-0.00893506478806294
2000-02-17,2000-02-18,12m,-0.024159116518849832,0.006486452580467761
2000-02-18,2000-02-22,12m,-0.009527125751944587,-0.003762760482578398
2000-02-22,2000-02-23,12m,-0.03962979584763304,-0.016780633498388764
2000-02-23,2000-02-24,12m,0.011100949765311396,0.007360822861313121
2000-02-24,2000-02-25,12m,0.0064642173790576685,0.006686260102865438
2000-02-25,2000-02-28,12m,0.01576164351068199,-0.0018129382429559193
2000-02-28,2000-02-29,12m,-0.01850895371843353,-0.006585993618679842
2000-02-29,2000-03-01,12m,-0.015257918361174627,-0.00643099502880129
2000-03-01,2000-03-02,12m,-0.010801345922402672,-0.007319840741301764
2000-03-02,2000-03-03,12m,0.0016045433562659195,-0.001305250326312568
2000-03-03,2000-03-06,12m,0.004151929762537865,0.008469485996752457
2000-03-06,2000-03-07,12m,0.022740338503964175,0.01582962311771552
2000-03-07,2000-03-08,12m,0.009796846287960292,-0.007197893299522029
2000-03-08,2000-03-09,12m,-0.0028039574950510238,0.016907156391196665
2000-03-09,2000-03-10,12m,-0.02249533889532207,-0.012774538061085416
2000-03-10,2000-03-13,12m,0.008311372953992313,-0.00129363913682079
2000-03-13,2000-03-14,12m,0.011208527181748806,0.015525065309431652
2000-03-14,2000-03-15,12m,0.008158313284238439,0.005069513787541169
2000-03-15,2000-03-16,12m,-0.0012990784181828863,-0.002648896753857266
2000-03-16,2000-03-17,12m,0.034998658524096005,0.04569525977172084
2000-03-17,2000-03-20,12m,0.005510953942167163,-0.006344876987078862
2000-03-20,2000-03-21,12m,0.0011555008127863697,0.030305977447468324
2000-03-21,2000-03-22,12m,,
2000-03-22,2000-03-23,12m,,
2000-03-23,2000-03-24,12m,,
2000-03-24,2000-03-27,12m,,
2000-03-27,2000-03-28,12m,-0.0028301777136209294,-0.022419668163434325
2000-03-28,2000-03-29,12m,-0.018454447420112485,-0.013718086396231066
2000-03-29,2000-03-30,12m,-0.012084357567016424,-0.026931016514349815
2000-03-30,2000-03-31,12m,-0.006136062474846216,0.00088452341158618
2000-03-31,2000-04-03,12m,-0.006187404578025024,0.009736429018457171
2000-04-03,2000-04-04,12m,0.06979324316721236,0.03942440370589395
2000-04-04,2000-04-05,12m,0.00394495849688048,-0.009690581434886214
2000-04-05,2000-04-06,12m,-0.042463569354668884,-0.02157927997217468
2000-04-06,2000-04-07,12m,-0.05471451395757687,-0.02145763965963743
2000-04-07,2000-04-10,12m,0.014304429947860076,-0.0006374331332643646
2000-04-10,2000-04-11,12m,0.005441981971672005,-0.0004725561732097372
2000-04-11,2000-04-12,12m,0.04268426723670271,0.004477293724681974
2000-04-12,2000-04-13,12m,0.02360994223865509,-0.0027870929279379952
2000-04-13,2000-04-14,12m,0.1018107814325726,0.00351250771159628
2000-04-14,2000-04-17,12m,-0.030476173347971702,-0.013423708182817684
2000-04-17,2000-04-18,12m,-0.07062463341844438,-0.023839627096440053
2000-04-18,2000-04-19,12m,-0.011074768624408038,-0.01478940768606618
2000-04-19,2000-04-20,12m,-0.029234333461789164,-0.008966345642791751
2000-04-20,2000-04-24,12m,0.007293304341580598,0.007472400327821482
2000-04-24,2000-04-25,12m,-0.009340470099097553,0.03018429075822171
2000-04-25,2000-04-26,12m,0.01544440175166728,0.0011495105309995424
2000-04-26,2000-04-27,12m,-0.031172907096270852,-0.018532737312647818
2000-04-27,2000-04-28,12m,-0.012972062304832166,-0.011749758438632796
2000-04-28,2000-05-01,12m,-0.013599461171550309,0.00023734902713878903
2000-05-01,2000-05-02,12m,0.048985771479976625,0.014012580519648932
2000-05-02,2000-05-03,12m,0.05934484694041586,0.017580375394907977
2000-05-03,2000-05-04,12m,-0.021374298040641837,-0.013852075744658965
2000-05-04,2000-05-05,12m,-0.02514257690348809,0.0023547387809779163
2000-05-05,2000-05-08,12m,-0.003930894890806114,-0.008116149244630444
2000-05-08,2000-05-09,12m,0.0022248108091922347,-0.006623904749926801
2000-05-09,2000-05-10,12m,0.046138647098362906,-0.0008450290249099046
2000-05-10,2000-05-11,12m,-0.023150317383068164,0.01484649042558206
2000-05-11,2000-05-12,12m,-0.016985641791678052,0.0031596319159381547
2000-05-12,2000-05-15,12m,-0.01833317052134298,0.012667710958250922
2000-05-15,2000-05-16,12m,-0.018948860570418002,-0.002442578440314147
2000-05-16,2000-05-17,12m,-0.01988311064523629,-0.020891005056656753
2000-05-17,2000-05-18,12m,-0.018174551737113687,-0.014246830763295804
2000-05-18,2000-05-19,12m,0.04874664796659833,0.0027409233890329787
2000-05-19,2000-05-22,12m,-0.008923093156743223,-0.02363705882977718
2000-05-22,2000-05-23,12m,0.026890598539750066,-0.0029900710141865794
2000-05-23,2000-05-24,12m,-0.005176114982224145,0.006436224586377826
2000-05-24,2000-05-25,12m,0.0066379974885681925,-0.0038183107063068933
2000-05-25,2000-05-26,12m,-0.035499546450678876,-0.0057491411344037235
2000-05-26,2000-05-30,12m,-0.016364668311225072,0.028006304261876114
2000-05-30,2000-05-31,12m,0.013724360304814276,0.00390930414386248
2000-05-31,2000-06-01,12m,-0.04605679910835436,0.006325766390928189
2000-06-01,2000-06-02,12m,-0.022647673299712623,-0.0010895818796630152
2000-06-02,2000-06-05,12m,0.014400175970812334,0.008366176130589764
2000-06-05,2000-06-06,12m,-0.012179283281807507,-0.011686072726308172
2000-06-06,2000-06-07,12m,-0.01878583347114615,0.0011615272209524186
2000-06-07,2000-06-08,12m,-0.05032378534993964,-0.030572540300166873
2000-06-08,2000-06-09,12m,-0.016788065378950834,-0.008059328975651536
2000-06-09,2000-06-12,12m,-0.03553619706184974,-0.02443085945063761
2000-06-12,2000-06-13,12m,0.028584877827463107,0.019623225049100412
2000-06-13,2000-06-14,12m,-0.008665991582677446,0.00011614401858306422
2000-06-14,2000-06-15,12m,-0.02924832764099261,-0.014705719995142141
2000-06-15,2000-06-16,12m,-0.011223050859941575,-0.009558058634690725
2000-06-16,2000-06-19,12m,,0.0042598028995961545
2000-06-19,2000-06-20,12m,0.007953603823463995,0.01753033987510144
2000-06-20,2000-06-21,12m,0.0033411126870392938,-0.001506024096385561
2000-06-21,2000-06-22,12m,0.03714137919847271,-0.0010572818293631547
2000-06-22,2000-06-23,12m,0.022180131362730116,0.004591870609637727
2000-06-23,2000-06-26,12m,-0.014078602530253392,-0.0041502320645029345
2000-06-26,2000-06-27,12m,0.001259177101735398,-0.007668906071745529
2000-06-27,2000-06-28,12m,-0.041510520171299636,-0.02407262715332814
2000-06-28,2000-06-29,12m,-0.0009611765568107167,0.005196719349961354
